Abacus Property Group,14D,Real Estate,"1,653,360,000",0.1,,"1,681,406,522,300",
Accent Group Ltd,AX1,Consumer Discretionary,"639,757,000",0.04,,,
Adelaide Brighton Ltd,ABC,Materials,"1,780,690,000",0.11,,Sector Breakdown,
Afterpay Ltd,APT,Information Technology,"8,329,580,000",0.5,,Consumer Discretionary,6.89
AGL Energy Ltd,AGL,Utilities,"10,669,800,000",0.63,,Consumer Staples,6.52
Alacer Gold Corp,AQG,Materials,"499,400,000",0.03,,Energy,4.43
Als Ltd,ALQ,Industrials,"3,285,320,000",0.2,,Financials,24.55
Altium Ltd,ALU,Information Technology,"4,472,480,000",0.27,,Health Care,13.18
Alumina Ltd,AWC,Materials,"4,996,530,000",0.3,,Industrials,8.47
AMA Group Ltd,AMA,Industrials,"310,892,000",0.02,,Information Technology,3.59
